Global Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1950,-0.09
1951,0.00
1952,0.07
1953,0.06
1954,-0.11
1955,-0.12
1956,-0.10
1957,0.10
1958,0.12
1959,0.06
1960,0.06
1961,0.08
1962,0.06
1963,0.08
1964,-0.08
1965,-0.04
1966,0.02
1967,0.00
1968,0.02
1969,0.19
1970,0.07
1971,-0.06
1972,0.12
1973,0.15
1974,-0.01
1975,-0.02
1976,0.02
1977,0.21
1978,0.14
1979,0.27
1980,0.29
1981,0.25
1982,0.24
1983,0.32
1984,0.21
1985,0.18
1986,0.23
1987,0.38
1988,0.33
1989,0.28
1990,0.37
1991,0.34
1992,0.25
1993,0.26
1994,0.30
1995,0.34
1996,0.31
1997,0.47
1998,0.52
1999,0.31
2000,0.33
2001,0.45
2002,0.48
2003,0.50
2004,0.49
2005,0.49
2006,0.49
2007,0.40
2008,0.39
2009,0.52
2010,0.53
2011,0.41
2012,0.48
2013,0.52
2014,0.61
2015,0.72
2016,0.75
2017,0.69
2018,0.66
2019,0.74
2020,0.72
